tf.Tensor(543.7944331040002, shape=(), dtype=float64)
tf.Tensor(428.5254903911824, shape=(), dtype=float64)
tf.Tensor(256.1524285234394, shape=(), dtype=float64)
tf.Tensor(548.496363039365, shape=(), dtype=float64)
tf.Tensor(520.8660804573003, shape=(), dtype=float64)
tf.Tensor(678.3504927918204, shape=(), dtype=float64)
tf.Tensor(711.7878322816472, shape=(), dtype=float64)
tf.Tensor(537.3857767126261, shape=(), dtype=float64)
tf.Tensor(237.32575895315966, shape=(), dtype=float64)
tf.Tensor(1019.5286189737315, shape=(), dtype=float64)
tf.Tensor(777.9106538258711, shape=(), dtype=float64)
tf.Tensor(628.9268968074706, shape=(), dtype=float64)
tf.Tensor(694.9094978773916, shape=(), dtype=float64)
tf.Tensor(617.0225545300324, shape=(), dtype=float64)
tf.Tensor(672.7042454586124, shape=(), dtype=float64)
tf.Tensor(560.8821809591158, shape=(), dtype=float64)
tf.Tensor(808.9669322673733, shape=(), dtype=float64)
tf.Tensor(638.0316490671612, shape=(), dtype=float64)
tf.Tensor(202.25175290751503, shape=(), dtype=float64)
tf.Tensor(931.4573463634282, shape=(), dtype=float64)
tf.Tensor(669.2004179801824, shape=(), dtype=float64)
tf.Tensor(1444.6199593193421, shape=(), dtype=float64)
tf.Tensor(838.1722091991699, shape=(), dtype=float64)
tf.Tensor(483.8392325794477, shape=(), dtype=float64)
tf.Tensor(827.525377755321, shape=(), dtype=float64)
tf.Tensor(826.7754090487185, shape=(), dtype=float64)
tf.Tensor(910.8694736844678, shape=(), dtype=float64)
tf.Tensor(526.3349451947485, shape=(), dtype=float64)
tf.Tensor(633.7479346635522, shape=(), dtype=float64)
tf.Tensor(620.7884739718887, shape=(), dtype=float64)
tf.Tensor(711.3570404112324, shape=(), dtype=float64)
tf.Tensor(707.3327768987525, shape=(), dtype=float64)
tf.Tensor(521.5074412562929, shape=(), dtype=float64)
tf.Tensor(1052.612698788361, shape=(), dtype=float64)
tf.Tensor(674.20265743169, shape=(), dtype=float64)
tf.Tensor(432.2552053730025, shape=(), dtype=float64)
tf.Tensor(692.9298927113921, shape=(), dtype=float64)
tf.Tensor(291.90440972849467, shape=(), dtype=float64)
tf.Tensor(869.4325563944833, shape=(), dtype=float64)
tf.Tensor(834.3658479264166, shape=(), dtype=float64)
